ID,Name,Overall Rating,No. of Ratings,Work Life Balance,Culture And Values,Senior Leadership,Compensation and Benefits,Career Opportunities,Sector,Industry Name,Website,Glassdoor
522491,Quest Informatics,3.6,13,3.4,3.6,3.9,3.4,3.6,Information Technology,IT Services,www.questinformatics.com,https://www.glassdoor.com/Overview/Working-at-Quest Informatics-EI_IE522491.htm
861412,Ather Energy,4.5,13,3.6,4.8,4.7,3.9,4.5,Manufacturing,Transportation Equipment Manufacturing,www.atherenergy.com,https://www.glassdoor.com/Overview/Working-at-Ather Energy-EI_IE861412.htm
755152,Trawex Technologies,4.4,13,3.8,4.6,4.2,4.2,4.0,Information Technology,IT Services,www.trawex.com,https://www.glassdoor.com/Overview/Working-at-Trawex Technologies-EI_IE755152.htm
699799,Cosmonet Solutions,3.5,13,3.7,3.2,3.2,3.1,3.8,Information Technology,IT Services,www.cosmonetsolutions.com,https://www.glassdoor.com/Overview/Working-at-Cosmonet Solutions-EI_IE699799.htm
1182906,SkillSpeed,3.4,13,3.4,3.5,3.4,3.2,3.3,,,www.skillspeed.com,https://www.glassdoor.com/Overview/Working-at-SkillSpeed-EI_IE1182906.htm
1321544,AJIO,3.1,13,3.3,3.0,2.7,3.1,3.0,,,www.ajio.com,https://www.glassdoor.com/Overview/Working-at-AJIO-EI_IE1321544.htm
843664,enParadigm Knowledge Solutions,4.6,13,4.3,4.8,4.7,4.2,4.2,Education,Education Training Services,www.enparadigm.com,https://www.glassdoor.com/Overview/Working-at-enParadigm Knowledge Solutions-EI_IE843664.htm
703449,Mobily Infotech,2.6,13,2.8,2.0,2.2,2.6,2.0,Information Technology,Computer Hardware & Software,www.mobilyinfotech.com,https://www.glassdoor.com/Overview/Working-at-Mobily Infotech-EI_IE703449.htm
426521,Meritus Analytics,3.3,13,2.9,3.0,2.6,2.2,3.1,Business Services,Advertising & Marketing,www.meritusglobal.com,https://www.glassdoor.com/Overview/Working-at-Meritus Analytics-EI_IE426521.htm
604105,Wisdomleaf Technologies,3.0,12,2.6,3.0,3.2,3.4,3.6,Information Technology,IT Services,www.wisdomleaf.com,https://www.glassdoor.com/Overview/Working-at-Wisdomleaf Technologies-EI_IE604105.htm
581282,Global Shiksha,3.3,12,2.6,2.9,3.1,2.8,3.0,Information Technology,Internet,www.globalshiksha.com,https://www.glassdoor.com/Overview/Working-at-Global Shiksha-EI_IE581282.htm
1180770,ChitrChatr Communications,1.1,12,1.3,1.1,1.1,1.5,1.2,,,www.chitrchatr.com,https://www.glassdoor.com/Overview/Working-at-ChitrChatr Communications-EI_IE1180770.htm
415770,Wafer Space,3.7,12,4.2,4.1,3.8,4.0,3.6,Information Technology,IT Services,www.waferspace.com,https://www.glassdoor.com/Overview/Working-at-Wafer Space-EI_IE415770.htm
787265,WyzMindz,3.3,12,3.5,3.3,3.7,2.5,3.6,Information Technology,IT Services,www.wyzmindz.com,https://www.glassdoor.com/Overview/Working-at-WyzMindz-EI_IE787265.htm
251977,24x7 Learning,2.4,12,2.0,2.3,2.2,2.2,2.3,Education,Education Training Services,www.24x7learning.com,https://www.glassdoor.com/Overview/Working-at-24x7 Learning-EI_IE251977.htm
1282308,Wicked Ride Adventures,3.6,12,3.1,3.6,3.3,2.8,3.8,Transportation & Logistics,Commercial Equipment Rental,www.wickedride.com,https://www.glassdoor.com/Overview/Working-at-Wicked Ride Adventures-EI_IE1282308.htm
607049,Pace India,3.2,12,3.4,3.2,2.7,3.4,2.9,Information Technology,Computer Hardware & Software,www.pace.com,https://www.glassdoor.com/Overview/Working-at-Pace India-EI_IE607049.htm
1059172,Redstone Learning,4.1,11,4.2,4.2,4.2,3.8,4.2,,,www.redstonelearning.com,https://www.glassdoor.com/Overview/Working-at-Redstone Learning-EI_IE1059172.htm
307446,TATA Advanced Materials,3.1,11,2.0,2.6,1.7,1.9,3.2,Aerospace & Defense,Aerospace & Defense,www.tamlindia.com,https://www.glassdoor.com/Overview/Working-at-TATA Advanced Materials-EI_IE307446.htm
1041805,Speed Jobs Consultancy,2.5,11,3.3,3.4,3.4,3.5,3.4,Business Services,Staffing & Outsourcing,www.speedjobs.in,https://www.glassdoor.com/Overview/Working-at-Speed Jobs Consultancy-EI_IE1041805.htm
1176194,eStomi Technologies,4.4,11,4.5,4.5,4.5,4.5,4.5,,,www.estomi.in,https://www.glassdoor.com/Overview/Working-at-eStomi Technologies-EI_IE1176194.htm
520935,The Fuller Life,4.8,10,4.1,4.8,4.6,3.3,4.0,"Arts, Entertainment & Recreation",Sports & Recreation,www.thefullerlife.com,https://www.glassdoor.com/Overview/Working-at-The Fuller Life-EI_IE520935.htm
8557,CEB,3.5,1237,3.7,3.7,3.2,3.3,3.3,Business Services,Consulting,www.cebglobal.com,https://www.glassdoor.com/Overview/Working-at-CEB-EI_IE8557.htm
5667,Nuance,3.4,966,3.5,3.2,3.1,3.7,3.2,Information Technology,Computer Hardware & Software,www.nuance.com,https://www.glassdoor.com/Overview/Working-at-Nuance-EI_IE5667.htm
5334,PAREXEL,3.3,955,3.3,3.3,2.9,3.3,3.1,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,www.parexel.com,https://www.glassdoor.com/Overview/Working-at-PAREXEL-EI_IE5334.htm
2872,Levi Strauss,3.4,913,3.3,3.8,3.0,3.3,2.9,Retail,"Department, Clothing, & Shoe Stores",www.levistrauss.com,https://www.glassdoor.com/Overview/Working-at-Levi Strauss-EI_IE2872.htm
10088,Alcon,3.1,681,3.2,3.1,2.8,3.6,2.9,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,www.alcon.com,https://www.glassdoor.com/Overview/Working-at-Alcon-EI_IE10088.htm
32953,Razorfish,3.5,628,3.5,3.5,2.9,3.5,3.0,Information Technology,Internet,www.razorfish.com,https://www.glassdoor.com/Overview/Working-at-Razorfish-EI_IE32953.htm
5753,ARCADIS,3.0,525,3.3,3.0,2.5,2.9,3.0,Business Services,Architectural & Engineering Services,www.arcadis.com,https://www.glassdoor.com/Overview/Working-at-ARCADIS-EI_IE5753.htm
6664,Rovi,3.0,359,3.4,2.9,2.7,3.7,2.8,Information Technology,Computer Hardware & Software,www.rovicorp.com,https://www.glassdoor.com/Overview/Working-at-Rovi-EI_IE6664.htm
40056,ZTE,3.3,359,3.2,2.9,2.9,2.9,3.1,Telecommunications,Telecommunications Manufacturing,www.zte.com.cn,https://www.glassdoor.com/Overview/Working-at-ZTE-EI_IE40056.htm
337306,Info Edge,3.4,350,3.5,3.3,3.0,3.0,3.1,Information Technology,Internet,www.infoedge.in,https://www.glassdoor.com/Overview/Working-at-Info Edge-EI_IE337306.htm
417223,VCE,2.9,323,2.8,2.8,2.5,3.6,2.6,Information Technology,Computer Hardware & Software,www.vce.com,https://www.glassdoor.com/Overview/Working-at-VCE-EI_IE417223.htm
13569,Mitel Networks,2.7,235,3.0,2.8,2.5,3.1,2.7,Telecommunications,Telecommunications Manufacturing,www.mitel.com,https://www.glassdoor.com/Overview/Working-at-Mitel Networks-EI_IE13569.htm
14704,Yash Technologies,3.3,230,3.4,3.4,3.0,3.1,3.1,Information Technology,IT Services,www.yash.com,https://www.glassdoor.com/Overview/Working-at-Yash Technologies-EI_IE14704.htm
775771,Deem,2.6,216,3.1,2.6,2.3,3.0,2.5,Information Technology,Internet,www.deem.com,https://www.glassdoor.com/Overview/Working-at-Deem-EI_IE775771.htm
241454,Beroe Inc.,3.3,167,3.4,3.9,2.9,3.3,3.1,Business Services,Consulting,www.beroeinc.com,https://www.glassdoor.com/Overview/Working-at-Beroe Inc.-EI_IE241454.htm
1007293,Grofers,3.0,155,2.2,2.9,2.9,3.0,3.2,Information Technology,Internet,www.grofers.com,https://www.glassdoor.com/Overview/Working-at-Grofers-EI_IE1007293.htm
7,AMETEK,2.7,151,2.7,2.4,2.1,3.1,2.2,Manufacturing,Electrical & Electronic Manufacturing,www.ametek.com,https://www.glassdoor.com/Overview/Working-at-AMETEK-EI_IE7.htm
3974,SKF,3.4,138,4.0,4.0,2.9,3.6,2.7,Manufacturing,Industrial Manufacturing,www.skf.com,https://www.glassdoor.com/Overview/Working-at-SKF-EI_IE3974.htm
598685,BlueStream,3.2,98,3.2,3.0,3.0,3.0,3.0,Telecommunications,Telecommunications Services,www.bluestreampro.com,https://www.glassdoor.com/Overview/Working-at-BlueStream-EI_IE598685.htm
498158,CDAC,3.2,87,3.8,3.2,3.0,3.1,3.2,Government,Federal Agencies,www.cdacnoida.in,https://www.glassdoor.com/Overview/Working-at-CDAC-EI_IE498158.htm
836171,L&T Infotech,2.8,81,3.1,2.9,2.6,2.4,2.8,Information Technology,IT Services,www.lntinfotech.com,https://www.glassdoor.com/Overview/Working-at-L&T Infotech-EI_IE836171.htm
333655,CD-adapco,3.6,76,3.6,3.3,3.0,2.7,3.0,Information Technology,Computer Hardware & Software,www.cd-adapco.com,https://www.glassdoor.com/Overview/Working-at-CD-adapco-EI_IE333655.htm
233072,Simeio,3.5,75,3.0,3.5,3.5,3.3,3.6,Information Technology,IT Services,www.simeiosolutions.com,https://www.glassdoor.com/Overview/Working-at-Simeio-EI_IE233072.htm
371934,Fortis Healthcare,3.2,73,3.1,3.3,3.0,2.9,3.5,Health Care,Health Care Services & Hospitals,www.fortishealthcare.com,https://www.glassdoor.com/Overview/Working-at-Fortis Healthcare-EI_IE371934.htm
319164,ICICI Direct,2.9,67,2.1,2.7,2.6,2.9,2.9,Finance,Investment Banking & Asset Management,www.icicidirect.com,https://www.glassdoor.com/Overview/Working-at-ICICI Direct-EI_IE319164.htm
12391,Theorem Clinical Research,3.2,64,2.9,3.1,2.9,3.0,2.9,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,www.theoremclinical.com,https://www.glassdoor.com/Overview/Working-at-Theorem Clinical Research-EI_IE12391.htm
43213,Kingfisher Airlines,3.4,63,3.4,3.4,2.7,3.1,3.0,Travel & Tourism,Airlines,www.flykingfisher.com,https://www.glassdoor.com/Overview/Working-at-Kingfisher Airlines-EI_IE43213.htm
261048,CHR Solutions,3.3,51,3.8,3.5,3.0,2.9,3.1,Telecommunications,"Cable, Internet & Telephone Providers",www.chrsolutions.com,https://www.glassdoor.com/Overview/Working-at-CHR Solutions-EI_IE261048.htm
468747,Tekskills,3.7,50,3.7,3.8,3.9,3.6,3.7,Information Technology,IT Services,www.tekskillsinc.com,https://www.glassdoor.com/Overview/Working-at-Tekskills-EI_IE468747.htm
216753,McFadyen Solutions,3.2,49,3.2,3.1,2.8,4.0,3.2,Information Technology,IT Services,www.mcfadyen.com,https://www.glassdoor.com/Overview/Working-at-McFadyen Solutions-EI_IE216753.htm
423006,Inspirage,2.7,48,2.7,2.9,2.7,2.7,2.9,Information Technology,Computer Hardware & Software,www.inspirage.com,https://www.glassdoor.com/Overview/Working-at-Inspirage-EI_IE423006.htm
760859,DesignQube Architects & Interior Designers,4.5,41,4.2,4.4,4.4,4.0,4.5,Business Services,Architectural & Engineering Services,www.designqubearchitects.com,https://www.glassdoor.com/Overview/Working-at-DesignQube Architects & Interior Designers-EI_IE760859.htm
717917,Netskope,3.9,40,3.7,3.9,3.9,4.0,4.1,Information Technology,Enterprise Software & Network Solutions,www.netskope.com,https://www.glassdoor.com/Overview/Working-at-Netskope-EI_IE717917.htm
260544,Knowledge Adventure,2.7,39,3.0,2.5,1.9,2.8,2.2,Information Technology,Computer Hardware & Software,www.jumpstart.com,https://www.glassdoor.com/Overview/Working-at-Knowledge Adventure-EI_IE260544.htm
423382,Locuz Enterprise Solutions,3.2,37,3.2,3.1,3.3,2.9,3.4,Information Technology,IT Services,www.locuz.com,https://www.glassdoor.com/Overview/Working-at-Locuz Enterprise Solutions-EI_IE423382.htm
734343,HAL,3.4,35,3.4,2.6,2.7,3.0,3.3,Information Technology,Computer Hardware & Software,www.hal-inc.com,https://www.glassdoor.com/Overview/Working-at-HAL-EI_IE734343.htm
419390,ISPG Technologies,2.9,32,3.2,2.7,2.9,2.4,3.1,Information Technology,IT Services,www.ispg.in,https://www.glassdoor.com/Overview/Working-at-ISPG Technologies-EI_IE419390.htm
625012,DynPro India,3.0,28,3.6,3.3,3.2,2.8,3.1,Information Technology,IT Services,www.dynproindia.com,https://www.glassdoor.com/Overview/Working-at-DynPro India-EI_IE625012.htm
364245,IIHT,3.2,27,3.1,2.9,2.9,3.1,3.3,Education,Colleges & Universities,www.iiht.com,https://www.glassdoor.com/Overview/Working-at-IIHT-EI_IE364245.htm
911595,Shiksha Infotech Ltd,3.3,24,2.8,3.2,3.5,3.3,3.3,,,www.shikshainfotech.com,https://www.glassdoor.com/Overview/Working-at-Shiksha Infotech Ltd-EI_IE911595.htm
273677,GoldSpot Media,2.2,24,2.8,2.7,2.0,2.6,2.3,Information Technology,Computer Hardware & Software,www.goldspotmedia.com,https://www.glassdoor.com/Overview/Working-at-GoldSpot Media-EI_IE273677.htm
279759,Titan Industries,3.9,23,3.7,4.1,3.5,3.3,3.5,Manufacturing,Chemical Manufacturing,www.titanindustries.com,https://www.glassdoor.com/Overview/Working-at-Titan Industries-EI_IE279759.htm
1146245,Methode Electronics,3.1,23,3.6,2.8,2.8,3.5,2.9,,,www.methode.com,https://www.glassdoor.com/Overview/Working-at-Methode Electronics-EI_IE1146245.htm
532181,Pylon Management Consulting,2.9,22,2.5,2.8,2.5,2.5,3.2,Business Services,Staffing & Outsourcing,www.pylonmc.com,https://www.glassdoor.com/Overview/Working-at-Pylon Management Consulting-EI_IE532181.htm
569967,Arvind Brands,3.8,22,3.6,3.8,3.7,3.4,3.7,Retail,General Merchandise & Superstores,www.arvindbrands.com,https://www.glassdoor.com/Overview/Working-at-Arvind Brands-EI_IE569967.htm
520189,Strides Arcolab Limited,2.5,20,2.4,2.6,2.2,2.8,2.2,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,www.stridesarco.com,https://www.glassdoor.com/Overview/Working-at-Strides Arcolab Limited-EI_IE520189.htm
647892,Incadea,3.7,20,3.4,3.5,3.5,3.5,3.7,Information Technology,Computer Hardware & Software,www.incadea.com,https://www.glassdoor.com/Overview/Working-at-Incadea-EI_IE647892.htm
522008,SLK Global Solutions,3.4,19,3.2,3.6,3.3,2.9,3.5,Business Services,Advertising & Marketing,www.slkgroup.com,https://www.glassdoor.com/Overview/Working-at-SLK Global Solutions-EI_IE522008.htm
617051,DMX Technologies Group,3.0,19,2.9,2.8,2.7,2.4,3.2,Information Technology,IT Services,www.dmxtechnologies.com,https://www.glassdoor.com/Overview/Working-at-DMX Technologies Group-EI_IE617051.htm
639864,BPL Medical Technologies,3.3,19,3.0,3.4,3.1,2.6,3.0,Health Care,Health Care Services & Hospitals,www.bplmedicaltechnologies.com,https://www.glassdoor.com/Overview/Working-at-BPL Medical Technologies-EI_IE639864.htm
962385,iNurture Education Solutions,2.7,18,3.3,2.9,2.6,2.4,3.0,,,www.inurture.co.in,https://www.glassdoor.com/Overview/Working-at-iNurture Education Solutions-EI_IE962385.htm
600290,MACH,3.0,18,3.1,2.3,2.8,2.7,2.3,Telecommunications,Telecommunications Services,www.starhomemach.com,https://www.glassdoor.com/Overview/Working-at-MACH-EI_IE600290.htm
1282114,GO-JEK Indonesia,4.4,17,4.1,4.2,4.0,4.1,4.0,Transportation & Logistics,Transportation Management,www.go-jek.com,https://www.glassdoor.com/Overview/Working-at-GO-JEK Indonesia-EI_IE1282114.htm
309667,Value Point Systems,2.9,16,3.1,2.6,2.4,2.1,2.8,Information Technology,IT Services,www.valuepoint.in,https://www.glassdoor.com/Overview/Working-at-Value Point Systems-EI_IE309667.htm
546860,IDEALINVENT Technologies,1.9,15,1.8,2.0,1.4,1.5,2.2,Information Technology,Computer Hardware & Software,www.idealinvent.com,https://www.glassdoor.com/Overview/Working-at-IDEALINVENT Technologies-EI_IE546860.htm
499775,Christ University,3.2,15,3.1,3.2,2.6,3.2,2.9,Education,Colleges & Universities,www.christuniversity.in,https://www.glassdoor.com/Overview/Working-at-Christ University-EI_IE499775.htm
463724,ConnectM Tech,2.9,15,3.0,2.7,2.9,2.6,3.0,Telecommunications,"Cable, Internet & Telephone Providers",www.connectm.com,https://www.glassdoor.com/Overview/Working-at-ConnectM Tech-EI_IE463724.htm
1082922,Codebrahma,3.0,15,2.9,2.5,2.4,3.3,3.0,Information Technology,Enterprise Software & Network Solutions,www.codebrahma.com,https://www.glassdoor.com/Overview/Working-at-Codebrahma-EI_IE1082922.htm
475353,NthDimenzion Solutions,3.6,15,3.2,3.3,3.4,3.3,3.4,Information Technology,IT Services,www.nthdimenzion.com,https://www.glassdoor.com/Overview/Working-at-NthDimenzion Solutions-EI_IE475353.htm
377025,IIM Bangalore,4.1,15,3.9,4.1,3.8,3.1,3.8,Education,Colleges & Universities,www.iimb.ernet.in,https://www.glassdoor.com/Overview/Working-at-IIM Bangalore-EI_IE377025.htm
196964,NIMHANS,3.8,15,2.8,3.7,2.6,2.3,3.0,Health Care,Health Care Services & Hospitals,www.nimhans.ac.in,https://www.glassdoor.com/Overview/Working-at-NIMHANS-EI_IE196964.htm
596981,Valuebound,4.1,15,3.5,3.9,3.6,3.4,4.0,Information Technology,IT Services,www.valuebound.com,https://www.glassdoor.com/Overview/Working-at-Valuebound-EI_IE596981.htm
555402,Tibil Solutions,3.4,14,3.6,3.6,3.1,3.3,3.3,Business Services,Advertising & Marketing,www.tibilsolutions.com,https://www.glassdoor.com/Overview/Working-at-Tibil Solutions-EI_IE555402.htm
695131,BeWo Technologies,4.0,13,4.4,4.2,3.9,3.8,3.8,Information Technology,Computer Hardware & Software,www.bewo.in,https://www.glassdoor.com/Overview/Working-at-BeWo Technologies-EI_IE695131.htm
657362,Zenith Software India,3.1,13,3.7,3.1,2.4,2.6,3.1,Information Technology,Computer Hardware & Software,www.zenithsoft.com,https://www.glassdoor.com/Overview/Working-at-Zenith Software India-EI_IE657362.htm
1337171,OneDirect (India),4.7,13,3.5,4.5,4.4,3.8,4.5,Information Technology,Enterprise Software & Network Solutions,www.onedirect.in,https://www.glassdoor.com/Overview/Working-at-OneDirect (India)-EI_IE1337171.htm
1558144,ZAPR Media Labs,4.8,13,4.5,4.8,4.8,4.5,4.7,,,www.zapr.in,https://www.glassdoor.com/Overview/Working-at-ZAPR Media Labs-EI_IE1558144.htm
834405,Travelyaari,3.5,13,3.3,3.5,3.8,3.2,3.8,Travel & Tourism,Bus Transportation Services,www.travelyaari.com,https://www.glassdoor.com/Overview/Working-at-Travelyaari-EI_IE834405.htm
1090313,Nispaara,2.0,13,2.3,2.2,2.1,2.0,2.5,,,www.nispaara.com,https://www.glassdoor.com/Overview/Working-at-Nispaara-EI_IE1090313.htm
690655,Jivox,3.7,13,3.5,3.8,3.9,3.7,3.2,Information Technology,Computer Hardware & Software,www.jivox.com,https://www.glassdoor.com/Overview/Working-at-Jivox-EI_IE690655.htm
40293,Centum Electronics,2.9,13,2.2,2.6,2.0,2.0,3.3,Manufacturing,Electrical & Electronic Manufacturing,www.centumindia.com/centumelectronics,https://www.glassdoor.com/Overview/Working-at-Centum Electronics-EI_IE40293.htm
228364,HTMT Global Solutions,3.1,13,2.8,3.7,2.3,2.2,2.5,Business Services,Advertising & Marketing,www.htmtglobal.com,https://www.glassdoor.com/Overview/Working-at-HTMT Global Solutions-EI_IE228364.htm
323776,Spectrum Consultants,3.6,13,3.0,2.5,3.0,3.1,2.4,Business Services,Staffing & Outsourcing,www.spectrumconsultants.com,https://www.glassdoor.com/Overview/Working-at-Spectrum Consultants-EI_IE323776.htm
515813,Bhea Knowledge Technologies,3.5,13,2.9,3.5,3.8,3.1,3.6,Information Technology,Enterprise Software & Network Solutions,www.bhea.com,https://www.glassdoor.com/Overview/Working-at-Bhea Knowledge Technologies-EI_IE515813.htm
514320,Optimus BT,2.5,13,2.0,2.0,2.2,2.6,2.7,Information Technology,Enterprise Software & Network Solutions,www.optimusbt.com,https://www.glassdoor.com/Overview/Working-at-Optimus BT-EI_IE514320.htm
529581,Blue Rose Technologies,3.9,12,4.0,3.8,4.2,4.1,3.9,Information Technology,IT Services,www.brtindia.com,https://www.glassdoor.com/Overview/Working-at-Blue Rose Technologies-EI_IE529581.htm
500537,Jenesys Technologies,3.5,12,3.7,3.7,3.4,3.0,3.2,Information Technology,IT Services,www.jenesystech.com,https://www.glassdoor.com/Overview/Working-at-Jenesys Technologies-EI_IE500537.htm
736231,Lukup Media,2.7,12,2.7,2.8,2.7,3.4,3.2,Telecommunications,"Cable, Internet & Telephone Providers",www.lukup.com,https://www.glassdoor.com/Overview/Working-at-Lukup Media-EI_IE736231.htm
632563,Glassbeam,3.8,12,3.9,3.5,3.5,3.7,3.9,Information Technology,Computer Hardware & Software,www.glassbeam.com,https://www.glassdoor.com/Overview/Working-at-Glassbeam-EI_IE632563.htm
1261547,Nivaata Systems,3.9,12,3.0,3.5,3.4,3.8,3.5,,,www.verayu.com,https://www.glassdoor.com/Overview/Working-at-Nivaata Systems-EI_IE1261547.htm
1138521,Silver Oak Health,4.9,12,4.7,4.6,4.9,4.4,4.4,Health Care,Health Care Services & Hospitals,www.silveroakhealth.com,https://www.glassdoor.com/Overview/Working-at-Silver Oak Health-EI_IE1138521.htm
1180532,DesignBids,4.4,12,4.2,4.6,4.6,3.8,4.3,Information Technology,IT Services,www.designbids.in,https://www.glassdoor.com/Overview/Working-at-DesignBids-EI_IE1180532.htm
621097,Tetcos,3.0,12,2.9,2.8,2.8,2.4,2.8,Information Technology,Computer Hardware & Software,www.tetcos.com,https://www.glassdoor.com/Overview/Working-at-Tetcos-EI_IE621097.htm
519307,IFB Automotive Pvt,2.8,11,2.7,2.3,2.5,2.1,2.9,,,www.ifbautomotive.com,https://www.glassdoor.com/Overview/Working-at-IFB Automotive Pvt-EI_IE519307.htm
518198,SLN Technologies,2.9,11,2.5,2.2,2.5,2.4,3.0,Manufacturing,Electrical & Electronic Manufacturing,www.slntechnologies.com,https://www.glassdoor.com/Overview/Working-at-SLN Technologies-EI_IE518198.htm
1299293,finUNO,4.9,11,4.3,4.8,5.0,4.3,5.0,Information Technology,Enterprise Software & Network Solutions,www.finuno.com,https://www.glassdoor.com/Overview/Working-at-finUNO-EI_IE1299293.htm
326952,Digimaker,3.4,11,3.5,3.6,3.2,3.6,3.6,Information Technology,Enterprise Software & Network Solutions,www.digimaker.com,https://www.glassdoor.com/Overview/Working-at-Digimaker-EI_IE326952.htm
961549,Anuta Networks,3.5,11,3.3,3.8,3.8,3.4,3.8,Information Technology,IT Services,www.anutanetworks.com,https://www.glassdoor.com/Overview/Working-at-Anuta Networks-EI_IE961549.htm
518604,ADARSH DEVELOPERS,3.9,11,3.7,4.0,3.3,3.4,3.5,Real Estate,Real Estate,www.adarshdevelopers.com,https://www.glassdoor.com/Overview/Working-at-ADARSH DEVELOPERS-EI_IE518604.htm
403985,ProcSys,3.3,11,3.6,3.9,2.4,3.0,3.7,Information Technology,Computer Hardware & Software,www.procsys.com,https://www.glassdoor.com/Overview/Working-at-ProcSys-EI_IE403985.htm
614538,Absolute Sports,3.8,11,3.2,3.7,3.6,3.0,3.5,Information Technology,Internet,www.sportskeeda.com,https://www.glassdoor.com/Overview/Working-at-Absolute Sports-EI_IE614538.htm
736022,Arcadix,4.5,11,4.5,4.4,4.1,4.2,4.1,Information Technology,Enterprise Software & Network Solutions,www.arcadix.com,https://www.glassdoor.com/Overview/Working-at-Arcadix-EI_IE736022.htm
154938,SoftJin Technologies Pvt,3.5,11,3.5,3.7,3.2,2.5,3.1,Information Technology,Computer Hardware & Software,www.softjin.com,https://www.glassdoor.com/Overview/Working-at-SoftJin Technologies Pvt-EI_IE154938.htm
512170,Mymo Wireless,2.8,11,3.0,2.8,2.8,2.9,3.0,Information Technology,Enterprise Software & Network Solutions,www.mymowireless.com,https://www.glassdoor.com/Overview/Working-at-Mymo Wireless-EI_IE512170.htm
520772,PriorityONE Consulting,1.7,11,1.8,1.7,1.7,1.8,1.7,Business Services,Staffing & Outsourcing,www.priorityoneindia.com,https://www.glassdoor.com/Overview/Working-at-PriorityONE Consulting-EI_IE520772.htm
679911,William Penn,3.7,11,3.7,3.7,3.4,3.8,4.0,Retail,"Gift, Novelty & Souvenir Stores",www.williampenn.net,https://www.glassdoor.com/Overview/Working-at-William Penn-EI_IE679911.htm
1285074,OneOrigin,4.8,10,4.6,4.7,4.9,4.6,4.6,Information Technology,IT Services,www.one-origin.com,https://www.glassdoor.com/Overview/Working-at-OneOrigin-EI_IE1285074.htm
1264309,MetricFox,3.6,10,3.9,3.9,3.9,4.0,4.1,Business Services,Advertising & Marketing,www.metricfox.com,https://www.glassdoor.com/Overview/Working-at-MetricFox-EI_IE1264309.htm
1106701,Sparkling Mindz International,4.1,10,3.9,4.3,4.2,4.0,4.2,,,www.sparklingmindz.in,https://www.glassdoor.com/Overview/Working-at-Sparkling Mindz International-EI_IE1106701.htm
1321691,RDA Labs,5.0,10,4.3,4.8,4.9,4.5,4.8,Information Technology,IT Services,www.rdalabs.com,https://www.glassdoor.com/Overview/Working-at-RDA Labs-EI_IE1321691.htm
511877,EmPower Research,3.6,10,2.7,3.5,3.6,3.9,3.4,Information Technology,Computer Hardware & Software,www.empowerresearch.com,https://www.glassdoor.com/Overview/Working-at-EmPower Research-EI_IE511877.htm
733181,calm.io,4.4,9,4.5,4.3,4.0,4.2,4.3,Information Technology,Computer Hardware & Software,www.calm.io,https://www.glassdoor.com/Overview/Working-at-calm.io-EI_IE733181.htm
1310937,Data Template Infotech,3.3,9,2.8,3.3,2.9,2.7,3.5,,,www.datatemplate.com,https://www.glassdoor.com/Overview/Working-at-Data Template Infotech-EI_IE1310937.htm
1147438,QuickRide,3.4,9,2.6,3.6,3.8,3.1,4.1,,,www.quickride.in,https://www.glassdoor.com/Overview/Working-at-QuickRide-EI_IE1147438.htm
336499,BEML,3.1,60,3.0,2.8,2.4,2.7,2.8,Manufacturing,Industrial Manufacturing,www.bemlindia.com,https://www.glassdoor.com/Overview/Working-at-BEML-EI_IE336499.htm
575263,Uber,4.1,3358,3.5,3.2,2.9,3.0,3.2,Information Technology,Computer Hardware & Software,www.uber.com,https://www.glassdoor.com/Overview/Working-at-Uber-EI_IE575263.htm
11159,Salesforce,4.2,3085,3.9,4.4,3.9,4.4,4.1,Information Technology,Computer Hardware & Software,www.salesforce.com,https://www.glassdoor.com/Overview/Working-at-Salesforce-EI_IE11159.htm
3477,GlaxoSmithKline,3.6,2016,3.6,3.7,3.2,3.7,3.3,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,www.gsk.com,https://www.glassdoor.com/Overview/Working-at-GlaxoSmithKline-EI_IE3477.htm
4232,InterContinental Hotels Group,3.7,1318,3.5,3.8,3.3,3.4,3.5,Travel & Tourism,"Hotels, Motels, & Resorts",www.ihg.com,https://www.glassdoor.com/Overview/Working-at-InterContinental Hotels Group-EI_IE4232.htm
30849,Protiviti,3.8,1027,3.9,4.1,3.8,3.5,3.9,Business Services,Consulting,www.protiviti.com,https://www.glassdoor.com/Overview/Working-at-Protiviti-EI_IE30849.htm
28435,Hitachi Consulting,3.2,743,3.6,3.4,2.9,3.1,3.0,Business Services,Consulting,www.hitachiconsulting.com,https://www.glassdoor.com/Overview/Working-at-Hitachi Consulting-EI_IE28435.htm
315536,Tieto,3.7,645,4.2,3.9,3.1,3.6,3.5,Information Technology,IT Services,www.tieto.com,https://www.glassdoor.com/Overview/Working-at-Tieto-EI_IE315536.htm
39377,GE Oil & Gas,3.3,585,3.3,3.4,2.8,3.4,3.3,"Oil, Gas, Energy & Utilities",Oil & Gas Services,www.geoilandgas.com,https://www.glassdoor.com/Overview/Working-at-GE Oil & Gas-EI_IE39377.htm
14045,Gensler,3.9,567,3.4,4.1,3.5,3.6,3.9,Business Services,Architectural & Engineering Services,www.gensler.com,https://www.glassdoor.com/Overview/Working-at-Gensler-EI_IE14045.htm
